high,timestamp,volume,low,close,open
29243.92,1609476180,6.41814707,29198.40,29243.92,29240.55
29254.39,1609476240,1.80621840,29236.67,29252.53,29254.39
29268.39,1609476300,5.96310532,29244.12,29252.92,29245.67
29277.01,1609476360,5.10721639,29252.96,29257.08,29268.62
29288.41,1609476420,1.93476753,29252.86,29288.41,29262.35
29288.48,1609476480,2.71623900,29267.44,29268.40,29285.20
29268.40,1609476540,12.34615391,29241.72,29255.22,29268.40
29288.05,1609476600,1.09684546,29267.57,29288.05,29267.57
29290.96,1609476660,4.66856693,29270.34,29272.25,29288.05
29290.79,1609476720,2.40874844,29276.29,29284.89,29290.79
29281.74,1609476780,5.20663393,29272.08,29281.34,29281.74
29284.36,1609476840,1.44016128,29277.85,29284.36,29281.74
29290.23,1609476900,2.29266212,29278.09,29284.55,29278.09
29293.20,1609476960,7.04372851,29275.31,29291.07,29290.10
29289.70,1609477020,5.66619240,29255.18,29269.62,29287.76
29296.95,1609477080,0.12720939,29277.06,29295.97,29286.18
29296.36,1609477140,1.69395552,29273.75,29290.38,29284.76
29300.15,1609477200,18.02403999,29272.15,29278.12,29294.58
29290.35,1609477260,5.70476154,29258.99,29275.39,29290.35
29269.22,1609477320,7.11342657,29226.77,29245.14,29269.22
29248.12,1609477380,3.71248087,29209.78,29214.67,29248.12
29235.85,1609477440,2.60370619,29215.90,29225.82,29215.90
29242.67,1609477500,2.22016296,29226.68,29235.58,29242.67
29247.09,1609477560,2.50710388,29228.68,29247.09,29228.68
29258.60,1609477620,16.69895028,29217.09,29227.74,29237.43
29242.82,1609477680,1.59646527,29185.73,29185.73,29227.74
29223.33,1609477740,13.32324322,29158.86,29170.39,29214.15
29193.52,1609477800,8.93967643,29166.92,29181.61,29171.61
29189.58,1609477860,3.06459263,29168.17,29184.56,29173.39
29192.63,1609477920,7.15359314,29172.08,29187.01,29192.63
29192.43,1609477980,4.32850859,29167.90,29167.90,29188.83
29189.38,1609478040,2.30572238,29168.15,29187.28,29183.50
29230.09,1609478100,2.96284379,29181.50,29213.75,29187.28
29238.10,1609478160,6.19926456,29207.61,29207.61,29233.45
29221.09,1609478220,1.31172724,29197.97,29213.49,29210.41
29206.53,1609478280,7.04338142,29186.95,29201.14,29206.41
29223.93,1609478340,0.28173901,29197.93,29223.93,29212.28
29218.95,1609478400,2.54567783,29209.72,29209.81,29215.66
29217.25,1609478460,3.37987887,29204.50,29212.62,29209.81
29219.65,1609478520,2.78633443,29211.11,29211.11,29215.43
29213.87,1609478580,1.91987777,29204.50,29204.51,29211.11
29224.47,1609478640,6.18026742,29211.88,29222.58,29218.18
29237.27,1609478700,0.38968323,29221.30,29237.27,29229.32
29257.67,1609478760,4.90236828,29237.77,29237.77,29238.16
29241.02,1609478820,12.17016783,29199.33,29215.36,29241.02
29227.28,1609478880,4.58277753,29204.89,29215.46,29215.36
29236.72,1609478940,4.13891106,29216.66,29227.35,29228.85
29217.28,1609479000,0.00371875,29217.28,29217.28,29217.28
29254.53,1609479060,3.74471488,29227.35,29237.65,29227.35
29253.42,1609479120,8.38141332,29219.12,29229.28,29253.42
29219.16,1609479180,6.62717667,29189.35,29197.41,29219.16
29214.35,1609479240,1.02215265,29201.77,29202.60,29201.77
29205.83,1609479300,7.62924322,29171.84,29184.23,29205.83
29204.98,1609479360,5.11485492,29179.73,29201.82,29179.73
29225.72,1609479420,7.74756013,29201.82,29206.47,29201.82
